ImageFile,BitSequenceFile,Payload,BitSequenceLength,OriginalBitChange,OptimizedBitChange,OptimizedNum,TimeTaken
yagate_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.056014776
yagate_gs.png,bit_sequence_payload-1.txt,1,40,16,16,0,0.900594234
yagate_gs.png,bit_sequence_payload-2.txt,2,81,38,33,5,5.147205591
yagate_gs.png,bit_sequence_payload-3.txt,3,122,59,44,15,19.03896308
yagate_gs.png,bit_sequence_payload-4.txt,4,163,61,54,7,16.96174097
yagate_gs.png,bit_sequence_payload-5.txt,5,204,97,75,22,112.7334054
yagate_gs.png,bit_sequence_payload-6.txt,6,245,112,84,28,132.9918418
yagate_gs.png,bit_sequence_payload-7.txt,7,286,136,97,39,450.7349875
yagate_gs.png,bit_sequence_payload-8.txt,8,327,156,127,29,1522.634575
yagate_gs.png,bit_sequence_payload-9.txt,9,368,187,142,45,1713.425482
yagate_gs.png,bit_sequence_payload-10.txt,10,409,212,160,52,7718.198121
SPMS_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.042913675
SPMS_gs.png,bit_sequence_payload-1.txt,1,40,27,4,23,0.13283515
SPMS_gs.png,bit_sequence_payload-2.txt,2,81,39,10,29,2.884197474
SPMS_gs.png,bit_sequence_payload-3.txt,3,122,58,12,46,7.479314089
SPMS_gs.png,bit_sequence_payload-4.txt,4,163,83,13,70,13.06286788
SPMS_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.033572197
SPMS_gs.png,bit_sequence_payload-1.txt,1,40,27,4,23,0.141439199
SPMS_gs.png,bit_sequence_payload-2.txt,2,81,39,10,29,2.823844433
SPMS_gs.png,bit_sequence_payload-3.txt,3,122,58,12,46,7.416648865
SPMS_gs.png,bit_sequence_payload-4.txt,4,163,83,13,70,13.12456441
SPMS_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.042114973
SPMS_gs.png,bit_sequence_payload-1.txt,1,40,27,6,21,0.158281326
SPMS_gs.png,bit_sequence_payload-2.txt,2,81,39,10,29,2.450316429
SPMS_gs.png,bit_sequence_payload-3.txt,3,122,58,12,46,7.220237017
SPMS_gs.png,bit_sequence_payload-4.txt,4,163,83,13,70,13.68644595
SPMS_gs.png,bit_sequence_payload-5.txt,5,204,98,15,83,43.8304832
yagate_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.042523861
yagate_gs.png,bit_sequence_payload-1.txt,1,40,16,6,10,0.532102346
yagate_gs.png,bit_sequence_payload-2.txt,2,81,38,10,28,1.577390194
yagate_gs.png,bit_sequence_payload-3.txt,3,122,59,12,47,6.605594873
yagate_gs.png,bit_sequence_payload-4.txt,4,163,61,13,48,13.17017794
yagate_gs.png,bit_sequence_payload-5.txt,5,204,97,15,82,47.21649766
yagate_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.24895048141479492
yagate_gs.png,bit_sequence_payload-1.txt,1,40,16,6,10,0.8582110404968262
yagate_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.2601330280303955
yagate_gs.png,bit_sequence_payload-1.txt,1,40,16,13,3,1.1252193450927734
yagate_gs.png,bit_sequence_payload-0.txt,0,0,0,0,0,0.04465436935424805
yagate_gs.png,bit_sequence_payload-1.txt,1,40,16,13,3,0.8530235290527344
yagate_gs.png,bit_sequence_payload-2.txt,2,81,38,25,13,2.450289726257324
yagate_gs.png,bit_sequence_payload-3.txt,3,122,59,44,15,10.339267015457153
yagate_gs.png,bit_sequence_payload-4.txt,4,163,61,54,7,19.955585718154907
yagate_gs.png,bit_sequence_payload-5.txt,5,204,97,73,24,69.78314256668091
